TIERS,PLAYER NAME,TEAM,RK,POS,BEST,WORST,AVG.,STD.DEV
1,Christian McCaffrey,CAR,1,RB1,1,3,1.1,0.3
1,Dalvin Cook,MIN,2,RB2,1,7,2.6,0.8
1,Alvin Kamara,NO,3,RB3,2,10,3,1.4
1,Davante Adams,GB,4,WR1,5,12,6.1,2.1
1,Ezekiel Elliott,DAL,5,RB4,2,22,7.1,4
1,Derrick Henry,TEN,6,RB5,2,27,7.9,6
1,Austin Ekeler,LAC,7,RB6,3,28,8,3.9
1,Aaron Jones,GB,8,RB7,3,23,8.5,4.2
2,Tyreek Hill,KC,9,WR2,8,25,10.3,2.5
2,Stefon Diggs,BUF,10,WR3,5,17,10.9,2.2
2,Saquon Barkley,NYG,11,RB8,2,34,12.1,6.7
2,DeAndre Hopkins,ARI,12,WR4,5,24,12.6,2.6
2,Calvin Ridley,ATL,13,WR5,5,25,13.4,2.9
2,Travis Kelce,KC,14,TE1,5,18,16.2,2.4
2,Jonathan Taylor,IND,15,RB9,4,40,17.6,8.3
3,Justin Jefferson,MIN,16,WR6,11,33,18.9,4.9
3,Nick Chubb,CLE,17,RB10,4,44,19.4,8
3,Antonio Gibson,WAS,18,RB11,3,42,19.6,6.4
3,D.K. Metcalf,SEA,19,WR7,12,36,20.1,5.6
3,Darren Waller,LV,20,TE2,16,30,20.1,3.5
3,A.J. Brown,TEN,21,WR8,5,39,21.5,6.3
3,Keenan Allen,LAC,22,WR9,11,46,21.8,5.9
3,Joe Mixon,CIN,23,RB12,8,57,23.8,8.3
3,Allen Robinson II,CHI,24,WR10,13,36,24.7,4.7
3,Najee Harris,PIT,25,RB13,4,65,22.6,7.9
3,Patrick Mahomes II,KC,26,QB1,19,56,26.7,11.5
3,George Kittle,SF,27,TE3,18,53,27.3,8.1
3,Terry McLaurin,WAS,28,WR11,16,41,27.8,4.3
3,Clyde Edwards-Helaire,KC,29,RB14,8,57,28.4,8.5
3,CeeDee Lamb,DAL,30,WR12,12,65,31.3,7.3
3,D'Andre Swift,DET,31,RB15,8,89,33.9,11.6
3,Robert Woods,LAR,32,WR13,20,50,34,5.6
4,Amari Cooper,DAL,33,WR14,24,50,35.1,5
4,Chris Carson,SEA,34,RB16,21,59,37,7
4,Chris Godwin,TB,35,WR15,24,64,37,6.3
4,David Montgomery,CHI,36,RB17,20,71,37.6,9.1
4,Mike Evans,TB,37,WR16,24,67,39.5,6.8
4,Cooper Kupp,LAR,38,WR17,25,84,39.8,8
4,James Robinson,JAC,39,RB18,10,119,40.8,13.1
4,Josh Allen,BUF,40,QB2,19,61,41,10.3
4,D.J. Moore,CAR,41,WR18,30,86,41.4,8.8
4,Tyler Lockett,SEA,42,WR19,28,72,41.8,8
4,Diontae Johnson,PIT,43,WR20,25,75,41.8,8.9
4,Julio Jones,TEN,44,WR21,25,116,43.4,11.2
4,Miles Sanders,PHI,45,RB19,27,76,47.2,10.1
4,Kyler Murray,ARI,46,QB3,19,70,51,10.5
4,Josh Jacobs,LV,47,RB20,34,80,51.9,8.3
4,Tee Higgins,CIN,48,WR22,28,86,52,11.7
4,Adam Thielen,MIN,49,WR23,33,88,52.3,10.9
4,Mark Andrews,BAL,50,TE4,26,92,53.8,9
5,T.J. Hockenson,DET,51,TE5,26,94,54.1,10.8
5,Mike Davis,ATL,52,RB21,26,85,54.1,10.5
5,Lamar Jackson,BAL,53,QB4,19,93,55.5,10.9
5,Kyle Pitts,ATL,54,TE6,26,94,55.6,13.5
5,Brandon Aiyuk,SF,55,WR24,36,157,57.1,13.8
5,Darrell Henderson,LAR,56,RB22,31,132,58.6,15.8
5,Myles Gaskin,MIA,57,RB23,27,115,59.8,14.9
5,Kareem Hunt,CLE,58,RB24,34,89,60.3,10.6
5,Gus Edwards,BAL,59,RB25,28,149,60.9,20.8
5,Dak Prescott,DAL,60,QB5,38,95,62.3,9.9
5,Chase Claypool,PIT,61,WR25,37,148,65.9,14.7
5,Jerry Jeudy,DEN,62,WR26,33,109,66,15.6
5,Odell Beckham Jr.,CLE,63,WR27,41,143,67,15.2
5,JuJu Smith-Schuster,PIT,64,WR28,41,140,67.5,16.8
5,Chase Edmonds,ARI,65,RB26,32,115,68.3,14.1
5,Russell Wilson,SEA,66,QB6,38,103,68.9,8.8
5,Damien Harris,NE,67,RB27,42,130,69.7,16.3
5,Tyler Boyd,CIN,68,WR29,45,111,70.7,13.3
5,Kenny Golladay,NYG,69,WR30,36,129,71.8,16.5
5,Aaron Rodgers,GB,70,QB7,54,105,72.1,10.3
5,Robby Anderson,CAR,71,WR31,33,156,68.4,16.5
5,Courtland Sutton,DEN,72,WR32,45,125,74.2,13.3
5,Ja'Marr Chase,CIN,73,WR33,39,148,70.8,15.4
5,Javonte Williams,DEN,74,RB28,20,130,72,17.3
5,Justin Herbert,LAC,75,QB8,52,95,76.4,9.1
6,Raheem Mostert,SF,76,RB29,44,134,82.2,17.4
6,Deebo Samuel,SF,77,WR34,38,160,82.3,18.5
6,Brandin Cooks,HOU,78,WR35,45,183,82.5,18.8
6,Noah Fant,DEN,79,TE7,53,132,84,15.6
6,Logan Thomas,WAS,80,TE8,46,139,85,20.5
6,Corey Davis,NYJ,81,WR36,50,183,85.5,21.8
6,Tom Brady,TB,82,QB9,54,114,88.1,11.6
6,Laviska Shenault Jr.,JAC,83,WR37,49,293,89.7,25.8
6,Melvin Gordon III,DEN,84,RB30,47,182,90,18.3
6,Ryan Tannehill,TEN,85,QB10,53,115,90.2,9.9
6,Will Fuller V,MIA,86,WR38,50,203,93.2,20.6
6,Antonio Brown,TB,87,WR39,37,196,90.3,23.4
6,Trey Sermon,SF,88,RB31,42,310,90.6,29.2
6,Jalen Hurts,PHI,89,QB11,56,154,94.5,13.6
6,D.J. Chark Jr.,JAC,90,WR40,45,309,95,29.7
6,DeVonta Smith,PHI,91,WR41,33,169,92.3,21.3
6,Jarvis Landry,CLE,92,WR42,48,174,96,18
6,Matthew Stafford,LAR,93,QB12,70,131,97.9,9.9
6,Ronald Jones II,TB,94,RB32,47,181,98.1,20.3
6,Dallas Goedert,PHI,95,TE9,53,163,98.6,20.1
6,Robert Tonyan,GB,96,TE10,63,166,99.8,17.8
6,Michael Carter,NYJ,97,RB33,55,187,98.7,22.4
6,Kenyan Drake,LV,98,RB34,59,255,104,21.5
6,Tyler Higbee,LAR,99,TE11,63,246,101.3,24.8
6,James Conner,ARI,100,RB35,60,205,105,19.9
6,Zack Moss,BUF,101,RB36,65,181,105.6,19.5
6,Curtis Samuel,WAS,102,WR43,55,244,106.2,23.6
6,Nyheim Hines,IND,103,RB37,71,170,106.8,21.2
6,Joe Burrow,CIN,104,QB13,68,163,108.3,12.3
6,Jamaal Williams,DET,105,RB38,80,168,110.5,18.7
6,Mike Gesicki,MIA,106,TE12,63,142,110.7,17.2
6,Mike Williams,LAC,107,WR44,67,218,108.4,22.5
6,Michael Gallup,DAL,108,WR45,72,216,112,21.1
7,Marvin Jones Jr.,JAC,109,WR46,60,186,113,22.9
7,Leonard Fournette,TB,110,RB39,76,187,113.1,20.9
7,Michael Pittman Jr.,IND,111,WR47,73,196,113.7,26.3
7,AJ Dillon,GB,112,RB40,76,186,114.9,20.1
7,Jonnu Smith,NE,113,TE13,63,180,116.5,20.2
7,Devin Singletary,BUF,114,RB41,67,188,116.7,16.5
7,Marquez Callaway,NO,115,WR48,65,198,119.9,29.9
7,Matt Ryan,ATL,116,QB14,66,224,122.2,18.7
